10819168407,239043943,06/24/2019 10:01:59 AM,06/24/2019 10:02:05 AM,,,,,230295176ed40fb1a207b7d53a,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30-44,,,Male,,,,,"$50,000-$74,999",,,,,,,,,,,,,,,,Pacific,,Android Phone / Tablet,,,,
10819167515,239043943,06/24/2019 10:01:42 AM,06/24/2019 10:01:55 AM,,,,,8ceb61250a09894155eb5cd935,Yes,,,4 - 6,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18-29,,,,,Female,,,,,"$75,000-$99,999",,,,,,,,,,,,,,,Pacific,iOS Phone / Tablet,,,,,
10819166817,239043943,06/24/2019 10:00:43 AM,06/24/2019 10:01:28 AM,,,,,a177da6a9d3e44a8c8d890cd37,Yes,,0 - 3,,,Yes,,@SamanthaTAuer,I have taken the test,,,,,,,,,,,,,,,,,ENTJ (The Commander),18 to 24,,,,,,Female,,,,,,,White / Caucasian,,,18-29,,,,,Female,,,,,,,"$125,000-$149,999",,,,,,,,,,,,,Pacific,,,,,,Other
10819166545,239043943,06/24/2019 10:00:49 AM,06/24/2019 10:01:21 AM,,,,,7f535375a457c708f0ddc1978d,Yes,,,,more than  7,Yes,,Nope,,I have not taken the test,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30-44,,,Male,,,,,,,"$100,000-$124,999",,,,,,,,,,,,,,Pacific,,,,,,Other
10819165894,239043943,06/24/2019 10:01:02 AM,06/24/2019 10:01:14 AM,,,,,e939389a16f9ba2d077d9680ea,Yes,,0 - 3,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18-29,,,,Male,,,"$10,000-$24,999",,,,,,,,,,,,,West North Central,,,,,,,Android Phone / Tablet,,,,
10819165426,239043943,06/24/2019 10:00:46 AM,06/24/2019 10:01:43 AM,,,,,10aa0551bf8efb89cb1f891d80,Yes,,0 - 3,,,Yes,,@screen_name,,I have not taken the test,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30-44,,,Male,,,,,,,,,,,"$200,000+",,,,,,,,,,Pacific,iOS Phone / Tablet,,,,,
10819165311,239043943,06/24/2019 10:00:46 AM,06/24/2019 10:01:04 AM,,,,,629d0a88cbb376aad73140809a,Yes,,,4 - 6,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10819164827,239043943,06/24/2019 10:00:16 AM,06/24/2019 10:00:41 AM,,,,,9cf74516acd5760d635d16b60b,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30-44,,,,Female,,"$10,000-$24,999",,,,,,,,,,,,,,South Atlantic,,,,,,Android Phone / Tablet,,,,
10819164575,239043943,06/24/2019 10:00:29 AM,06/24/2019 10:00:56 AM,,,,,5d5f4da279c6052fc7cd24a500,Yes,,0 - 3,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18-29,,,,Male,,,,,,"$75,000-$99,999",,,,,,,,,,,,,,,Pacific,,Android Phone / Tablet,,,,
10819162480,239043943,06/24/2019 09:59:36 AM,06/24/2019 10:00:01 AM,,,,,fe7712edb52559818ab9c46fd2,Yes,,0 - 3,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45-60,,,Female,,,,"$50,000-$74,999",,,,,,,,,,,,,,,,Pacific,iOS Phone / Tablet,,,,,
10819157547,239043943,06/24/2019 09:57:27 AM,06/24/2019 09:57:44 AM,,,,,aa697957c76e01395af103c9f3,Yes,,0 - 3,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45-60,,Male,,,,,,,,,,,"$200,000+",,,,,,,,West South Central,,,,Android Phone / Tablet,,,,
10819142885,239043943,06/24/2019 09:51:36 AM,06/24/2019 09:52:31 AM,,,,,fe8e997d1fa94b97238fd7db35,Yes,,,4 - 6,,Yes,,@kephithedon,,I have not taken the test,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30-44,,,Male,,"$0-$9,999",,,,,,,,,,,,,,,South Atlantic,,,,,,Android Phone / Tablet,,,,
10819138694,239043943,06/24/2019 09:49:50 AM,06/24/2019 09:53:02 AM,,,,,6f11ba84d81a1f43f0e80e4ea0,Yes,,,,more than  7,Yes,,@contented2851,I have taken the test,,,,,,,,,,,,,,ESTJ (The Supervisor),,,,,,,,55 and older,,Female,,,,,,,White / Caucasian,,,,,,> 60,,Female,,,,,"$75,000-$99,999",,,,,,,New England,,,,,,,,,iOS Phone / Tablet,,,,,
10819138586,239043943,06/24/2019 09:49:49 AM,06/24/2019 09:49:56 AM,,,,,3ea781a4ef4625b662def46627,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45-60,,,Female,,,,,,,,"$150,000-$174,999",,,,,,,,South Atlantic,,,,,iOS Phone / Tablet,,,,,
10819130306,239043943,06/24/2019 09:46:21 AM,06/24/2019 09:46:29 AM,,,,,63e95221e9f58ccd9e82927e85,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45-60,,,Female,,,,"$50,000-$74,999",,,,,,,,,,,,,,,,Pacific,,Android Phone / Tablet,,,,
10819112693,239043943,06/24/2019 09:39:01 AM,06/24/2019 09:39:08 AM,,,,,262bf5568048bd0939971620ff,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45-60,,,Female,,"$10,000-$24,999",,,,,,,,,,,,,West North Central,,,,,,iOS Phone / Tablet,,,,,
10819096176,239043943,06/24/2019 09:32:08 AM,06/24/2019 09:32:17 AM,,,,,50054853e779a2cf12be95523d,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18-29,,,,Male,,,,"$25,000-$49,999",,,,,,,,,,,,,,,,,Pacific,iOS Phone / Tablet,,,,,
10819073621,239043943,06/24/2019 09:23:03 AM,06/24/2019 09:28:27 AM,,,,,1aeebdcb5b0745210d20001cb8,Yes,,0 - 3,,,Yes,,@xochandaox,I have taken the test,,,,,,,,,,,,,ENTP (The Visionary),,,,,,25 to 34,,,,,Female,,,American Indian or Alaskan Native,,,,,,,18-29,,,,,Female,,,,,"$75,000-$99,999",,,,,,,,,,,,,West South Central,,,,Android Phone / Tablet,,,,
10819068360,239043943,06/24/2019 09:20:56 AM,06/24/2019 09:21:03 AM,,,,,2a1e8f2c3e48d99a70ffeec8c7,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30-44,,,Male,,,,"$25,000-$49,999",,,,,,,,,,,East North Central,,,,,,,,Android Phone / Tablet,,,,
10819058854,239043943,06/24/2019 09:17:11 AM,06/24/2019 09:19:08 AM,,,,,7d5bbd3b4e9815ae26673b3f63,Yes,,,,more than  7,Yes,,@snllive_bob,I have taken the test,,,,,INTJ (The Mastermind),,,,,,,,,,,,,,,,45 to 54,,,Female,,,,Asian / Pacific Islander,,,,,,,,45-60,,,Female,,,,,,"$100,000-$124,999",,,,,,,,,,,,West South Central,,,iOS Phone / Tablet,,,,,
10819057207,239043943,06/24/2019 09:15:57 AM,06/24/2019 09:16:40 AM,,,,,e04c9e6b0d7d2f824a7a8791c3,Yes,,,,more than  7,Yes,,No,I have taken the test,,ISTJ (The Inspector),,,,,,,,,,,,,,,,,,35 to 44,,,,,Male,,,,,,White / Caucasian,,,,30-44,,,Male,,,,,,,,,,,"$200,000+",,,,,,,,,,Pacific,,,,,,Other
10819057087,239043943,06/24/2019 09:16:30 AM,06/24/2019 09:17:11 AM,,,,,cae855e3247d05749deabbb576,Yes,,,4 - 6,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18-29,,,,Male,,,"$10,000-$24,999",,,,,,,,,,,,,,,,West South Central,,,,Android Phone / Tablet,,,,
10819048581,239043943,06/24/2019 09:12:59 AM,06/24/2019 09:14:17 AM,,,,,c57e55716aa7772bddedf42f6f,Yes,,0 - 3,,,Yes,,Liddohsav ,I have taken the test,,,,INFJ (The Counselor),,,,,,,,,,,,,,18 to 24,,,,,,Female,,,,,,,White / Caucasian,,,18-29,,,,,Female,,"$10,000-$24,999",,,,,,,,,,,,,,,,,,Pacific,iOS Phone / Tablet,,,,,
10819040487,239043943,06/24/2019 09:09:53 AM,06/24/2019 09:10:00 AM,,,,,dd0755741d6b42476d7f24f881,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45-60,,,Female,,,,,,,,,,,Prefer not to answer,,,,,,East South Central,,,,iOS Phone / Tablet,,,,,
10819035567,239043943,06/24/2019 09:08:00 AM,06/24/2019 09:09:14 AM,,,,,35547a651556d27655ae315020,Yes,,,4 - 6,,Yes,,@mcleelee,,I have not taken the test,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45-60,,,Female,,,"$25,000-$49,999",,,,,,,,,,,,,,East South Central,,,,,Android Phone / Tablet,,,,
10819026804,239043943,06/24/2019 09:04:40 AM,06/24/2019 09:06:00 AM,,,,,edf8ba3afed1c2f813be8e0785,Yes,,0 - 3,,,Yes,,Reidbooks,I have taken the test,,,,,,ISTP (The Craftsman),,,,,,,,,,,,,,35 to 44,,,,,Male,,,,,,White / Caucasian,,,,30-44,,,Male,,,,"$25,000-$49,999",,,,,,,,,,,,,South Atlantic,,,,,,Android Phone / Tablet,,,,
10819016683,239043943,06/24/2019 09:00:57 AM,06/24/2019 09:01:10 AM,,,,,9af88bcd38a4ca2550cf133e01,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18-29,,,,,Female,,,,"$50,000-$74,999",,,,,,,,,,East North Central,,,,,,,,Android Phone / Tablet,,,,
10818974370,239043943,06/24/2019 08:45:54 AM,06/24/2019 08:46:10 AM,,,,,51371610a095eacfb809a997ed,Yes,,0 - 3,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30-44,,,Male,,,,,,,,,,,,Prefer not to answer,,,,,,East South Central,,,,iOS Phone / Tablet,,,,,
10818974189,239043943,06/24/2019 08:45:48 AM,06/24/2019 08:47:00 AM,,,,,a2a8c78ab3430b80e9fb6fdd99,Yes,,0 - 3,,,Yes,,@jgavin12,I have taken the test,,,,INFJ (The Counselor),,,,,,,,,,,,,,,25 to 34,,,,,Female,,,,,,,White / Caucasian,,,,30-44,,,,Female,,,"$25,000-$49,999",,,,,,,,,,,East North Central,,,,,,,iOS Phone / Tablet,,,,,
10818961774,239043943,06/24/2019 08:41:09 AM,06/24/2019 08:41:22 AM,,,,,c3556c99fd454ef915cafb47ab,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18-29,,,,Male,,,"$10,000-$24,999",,,,,,,,,,,,East North Central,,,,,,,iOS Phone / Tablet,,,,,
10818936254,239043943,06/24/2019 08:32:09 AM,06/24/2019 08:32:14 AM,,,,,b8a9fbdb4b3a1b52abd597b7f6,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30-44,,,,Female,,,,"$50,000-$74,999",,,,,,,,,,East North Central,,,,,,,iOS Phone / Tablet,,,,,
10818933231,239043943,06/24/2019 08:30:57 AM,06/24/2019 08:31:48 AM,,,,,6f945505e1baf402e7d5c4c96c,Yes,,0 - 3,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18-29,,,,Male,,,,,,,"$100,000-$124,999",,,,,,,Middle Atlantic,,,,,,,,iOS Phone / Tablet,,,,,
10818932800,239043943,06/24/2019 08:30:54 AM,06/24/2019 08:31:00 AM,,,,,d39139748d4a1314436847ec67,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30-44,,,Male,,,,,,,,"$125,000-$149,999",,,,,,,,,,,,,Pacific,,Android Phone / Tablet,,,,
10818932608,239043943,06/24/2019 08:30:47 AM,06/24/2019 08:31:58 AM,,,,,742061f8cbf23948f7e88251f5,Yes,,0 - 3,,,Yes,,Hcampbell,,I have not taken the test,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45-60,,,Female,,,,,"$75,000-$99,999",,,,,,,,,,,,,West South Central,,,iOS Phone / Tablet,,,,,
10818927945,239043943,06/24/2019 08:29:11 AM,06/24/2019 08:29:18 AM,,,,,099e5b2aea9a3d23b49d55b04a,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30-44,,,,Female,,"$10,000-$24,999",,,,,,,,,,,Middle Atlantic,,,,,,,,,Android Phone / Tablet,,,,
10818919070,239043943,06/24/2019 08:26:02 AM,06/24/2019 08:26:07 AM,,,,,a3b83d9d6339a99fd0c9867a3b,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18-29,,,,,Female,,,,,,"$100,000-$124,999",,,,,,,,,,,,,,Pacific,,Android Phone / Tablet,,,,
10818898333,239043943,06/24/2019 08:18:43 AM,06/24/2019 08:19:03 AM,,,,,8bc06fb11480206d36297aa66c,Yes,,0 - 3,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18-29,,,,,Female,,,"$25,000-$49,999",,,,,,,,,,,,,,,,,Pacific,iOS Phone / Tablet,,,,,
10818673135,239043943,06/24/2019 06:56:54 AM,06/24/2019 06:57:02 AM,,,,,61752d2589dd2cd1a7898cfbba,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45-60,,Male,,,,,,,"$100,000-$124,999",,,,,,,Middle Atlantic,,,,,,,,iOS Phone / Tablet,,,,,
10818594108,239043943,06/24/2019 06:26:35 AM,06/24/2019 06:27:26 AM,,,,,6d29c9c2558bcb4fbe003b2660,Yes,,0 - 3,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45-60,,Male,,,,,,,"$100,000-$124,999",,,,,,,,,,South Atlantic,,,,,iOS Phone / Tablet,,,,,
10818586583,239043943,06/24/2019 06:24:01 AM,06/24/2019 06:25:14 AM,,,,,f9e43f753be8f13ec2ea5f12cc,Yes,,,4 - 6,,Yes,,Nice,I have taken the test,,ISTJ (The Inspector),,,,,,,,,,,,,,,,,,35 to 44,,,,Female,,,,,Black or African American,,,,,,30-44,,,,Female,,"$10,000-$24,999",,,,,,,,,,,,,,,,West South Central,,,,Android Phone / Tablet,,,,
10818544794,239043943,06/24/2019 06:08:07 AM,06/24/2019 06:08:26 AM,,,,,b11e78c734f667773b77b53b21,Yes,,0 - 3,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30-44,,,,Female,,,,,,,"$125,000-$149,999",,,,,,,,,South Atlantic,,,,,iOS Phone / Tablet,,,,,
10818487930,239043943,06/24/2019 05:44:21 AM,06/24/2019 05:44:47 AM,,,,,7273f6eeb61ade5a8ee9aa8573,Yes,,0 - 3,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,> 60,,Female,,"$10,000-$24,999",,,,,,,,,,,,East North Central,,,,,,,iOS Phone / Tablet,,,,,
10818269127,239043943,06/24/2019 03:48:28 AM,06/24/2019 03:49:00 AM,,,,,bae8e4fc123c087560f97bb8cf,Yes,,0 - 3,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,> 60,Male,,,"$10,000-$24,999",,,,,,,,,,,,East North Central,,,,,,,iOS Phone / Tablet,,,,,
10818264068,239043943,06/24/2019 03:45:28 AM,06/24/2019 03:45:34 AM,,,,,f624ce6d7983e225fbfc4d9c06,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45-60,,,Female,,"$10,000-$24,999",,,,,,,,,,,,,West North Central,,,,,,,Android Phone / Tablet,,,,
10818262132,239043943,06/24/2019 03:44:10 AM,06/24/2019 03:44:18 AM,,,,,2292234c80fc6d05bddd15bdc5,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,> 60,Male,,,,,"$50,000-$74,999",,,,,,,,,,,,,,West South Central,,,,Android Phone / Tablet,,,,
10818250789,239043943,06/24/2019 03:36:48 AM,06/24/2019 03:37:00 AM,,,,,ef953c2fd18f30bcf302effd48,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45-60,,Male,,"$0-$9,999",,,,,,,,,,,,,,,,,,,Pacific,iOS Phone / Tablet,,,,,
10818236050,239043943,06/24/2019 03:27:43 AM,06/24/2019 03:27:51 AM,,,,,9ba5a5d23745416499f237c6e7,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45-60,,,Female,,,,,"$75,000-$99,999",,,,,,,,,,,,,,,Pacific,iOS Phone / Tablet,,,,,
10818236005,239043943,06/24/2019 03:27:44 AM,06/24/2019 03:28:43 AM,,,,,39b0ab7a45fb2576626534d449,Yes,,,4 - 6,,Yes,,kgreen,,I have not taken the test,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45-60,,,Female,,,"$25,000-$49,999",,,,,,,,,,,,,,East South Central,,,,,,,Windows Desktop / Laptop,,
10818230159,239043943,06/24/2019 03:24:04 AM,06/24/2019 03:24:13 AM,,,,,6f4a6eac0be7be6f39ee8933b2,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,> 60,Male,,,,,,,,"$125,000-$149,999",,,,,,,,,South Atlantic,,,,,,,,Windows Desktop / Laptop,,
10818216515,239043943,06/24/2019 03:15:35 AM,06/24/2019 03:15:42 AM,,,,,ae14b3ebb212067fce3c6e4792,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45-60,,,Female,,,,,,"$100,000-$124,999",,,,,,,Middle Atlantic,,,,,,,,iOS Phone / Tablet,,,,,
10818215061,239043943,06/24/2019 03:14:31 AM,06/24/2019 03:14:48 AM,,,,,6bcc7358165897929b1ddaac15,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30-44,,,,Female,,,"$25,000-$49,999",,,,,,,,,,,,,,East South Central,,,,,Android Phone / Tablet,,,,
10818214461,239043943,06/24/2019 03:14:13 AM,06/24/2019 03:15:57 AM,,,,,6fc14ead055524f97bbe10a03b,Yes,,0 - 3,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,> 60,Male,,,,,,,,,,"$175,000-$199,999",,,,Middle Atlantic,,,,,,,,iOS Phone / Tablet,,,,,
10818207950,239043943,06/24/2019 03:10:10 AM,06/24/2019 03:10:16 AM,,,,,a93b24e07e632ea28dcc9af690,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45-60,,,Female,,,,,,"$100,000-$124,999",,,,,,,,,West North Central,,,,,,iOS Phone / Tablet,,,,,
10818201029,239043943,06/24/2019 03:05:53 AM,06/24/2019 03:06:01 AM,,,,,a16c8d4ea1e9671113bf1ef40d,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,> 60,Male,,,,,,,,,,,"$200,000+",,,,,,,,West South Central,,,,,,Windows Desktop / Laptop,,
10818186400,239043943,06/24/2019 02:56:56 AM,06/24/2019 02:57:03 AM,,,,,8b190ddf1698ff3c4af25a9894,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30-44,,,Male,,,,,,,,"$125,000-$149,999",,,,,,,,,,,West South Central,,,iOS Phone / Tablet,,,,,
10818174916,239043943,06/24/2019 02:50:00 AM,06/24/2019 02:50:10 AM,,,,,44075191949ee3768df4f3d2a6,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45-60,,,Female,,,,,,"$100,000-$124,999",,,,,,,Middle Atlantic,,,,,,,,,Android Phone / Tablet,,,,
10818174776,239043943,06/24/2019 02:49:59 AM,06/24/2019 02:50:19 AM,,,,,d7e477fbe16591c0f8051e21bb,Yes,,,4 - 6,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45-60,,,Female,,,,"$50,000-$74,999",,,,,,,,,,East North Central,,,,,,,iOS Phone / Tablet,,,,,
10818174691,239043943,06/24/2019 02:49:58 AM,06/24/2019 02:50:20 AM,,,,,0c200e551ee0d0d25de5ad32d9,Yes,,0 - 3,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45-60,,,Female,,,,,,,"$125,000-$149,999",,,,,,,,,South Atlantic,,,,,iOS Phone / Tablet,,,,,
10818173817,239043943,06/24/2019 02:49:24 AM,06/24/2019 02:49:45 AM,,,,,6bc42276aa5e115d08c2a9e078,Yes,,0 - 3,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45-60,,Male,,,,,,"$75,000-$99,999",,,,,,,,,,,South Atlantic,,,,,iOS Phone / Tablet,,,,,
10818164843,239043943,06/24/2019 02:44:11 AM,06/24/2019 02:44:17 AM,,,,,b38f1d08ab8b7395d493749ebc,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45-60,,Male,,,,,,,,"$125,000-$149,999",,,,,,,East North Central,,,,,,,iOS Phone / Tablet,,,,,
10818163047,239043943,06/24/2019 02:43:05 AM,06/24/2019 02:43:17 AM,,,,,44e4bc054cd3cccbda8dc449ef,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18-29,,,,Male,,,,,,,,"$125,000-$149,999",,,,,New England,,,,,,,,,,Android Phone / Tablet,,,,
10818161323,239043943,06/24/2019 02:42:09 AM,06/24/2019 02:42:17 AM,,,,,57466a569b1bc48a864d6e83c7,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18-29,,,,,Female,"$0-$9,999",,,,,,,,,,,,,,,,,West South Central,,,iOS Phone / Tablet,,,,,
10818148726,239043943,06/24/2019 02:35:02 AM,06/24/2019 02:35:23 AM,,,,,06ff4b38f0a27d913430501869,Yes,,0 - 3,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45-60,,Male,,,,,,,,"$125,000-$149,999",,,,,,Middle Atlantic,,,,,,,,,Android Phone / Tablet,,,,
10818134969,239043943,06/24/2019 02:27:33 AM,06/24/2019 02:27:44 AM,,,,,9bddc21ef17aaeb36a991204de,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,> 60,,Female,,,,"$50,000-$74,999",,,,,,,,New England,,,,,,,,,iOS Phone / Tablet,,,,,
10818131434,239043943,06/24/2019 02:25:41 AM,06/24/2019 02:25:56 AM,,,,,6a1429cf01382577a06c3571a4,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45-60,,Male,,,"$10,000-$24,999",,,,,,,,,,,,,,,,,,Pacific,,Android Phone / Tablet,,,,
10818115091,239043943,06/24/2019 02:17:30 AM,06/24/2019 02:18:39 AM,,,,,e427173704e31034cb59255ffc,Yes,,0 - 3,,,Yes,,Happy birthday ,I have taken the test,,,ISFJ (The Nurturer),,,,,,,,,,,,,,,,,,45 to 54,,,Female,,,,,Black or African American,,,,,,,45-60,,,Female,,,,"$50,000-$74,999",,,,,,,,,,,,,East South Central,,,,,Android Phone / Tablet,,,,
